Chlorophyta;Chlorophyceae;Chlamydomonadales;Dunaliellaceae;Dunaliella;Dunaliella_parva;
Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Pseudochlorella;Pseudochlorella_pringsheimii;
Chlorophyta;Trebouxiophyceae;Incertae_sedis;Coccomyxaceae;Coccomyxa;Coccomyxa_viridis1;
Chlorophyta;Trebouxiophyceae;Incertae_sedis;Coccomyxaceae;Coccomyxa;Coccomyxa_viridis2;
Chlorophyta;Trebouxiophyceae;Incertae_sedis;Coccomyxaceae;Coccomyxa;Coccomyxa_viridis3;
Chlorophyta;Trebouxiophyceae;Prasiolales;Incertae_sedis;Elliptochloris;Elliptochloris_perforata1;
Chlorophyta;Trebouxiophyceae;Prasiolales;Incertae_sedis;Elliptochloris;Elliptochloris_perforata2;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia;Trebouxia_arboricola;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia;Trebouxia_incrustata;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia;Trebouxia_vagua;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia1;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia2;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia3;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia4;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia5;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia6;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia7;;
Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Vulcanochloris;Vulcanochloris_symbiotica;
Chlorophyta;Ulvophyceae;Ulotrichales;Incertae_sedis;Tupiella;Tupiella_speciosa1;
Chlorophyta;Ulvophyceae;Ulotrichales;Incertae_sedis;Tupiella;Tupiella_speciosa2;
k__Fungi;;;;;;
k__Fungi;p__Ascomycota;;;;;
k__Fungi;p__Ascomycota;;;;;
k__Fungi;p__Ascomycota;;;;;
k__Fungi;p__Ascomycota;;;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina;s__Macrophomina_phaseolina
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__unidentified
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__unidentified
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Myriangiales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Myriangiales;f__Myriangiaceae;g__Myriangium;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;;;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Lophiostoma;s__unidentified
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Morosphaeriaceae;g__Acrocalymma;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae;g__Tubeufia;
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;;
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella;s__unidentified
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella;s__unidentified
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella;s__unidentified
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Arthrodermataceae;g__Arthroderma;
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Pyrenulales;f__Pyrenulaceae;g__Pyrenula;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Caliciales;f__Caliciaceae;g__Buellia;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Caliciales;f__Caliciaceae;g__Buellia;s__Buellia_griseovirens
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Caliciales;f__Physciaceae;g__Anaptychia;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Candelariales;f__Candelariaceae;g__Candelariella;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Candelariales;f__Candelariaceae;g__Candelariella;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;;;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;;;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;;;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Catillariaceae;g__Catillaria;s__Catillaria_nigroclavata
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanoraceae;;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanoraceae;g__Lecanora;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanoraceae;g__Lecidella;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanoraceae;g__Lecidella;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanoraceae;g__Lecidella;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanoraceae;g__Lecidella;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Micareaceae;g__Micarea;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Micareaceae;g__Micarea;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Micareaceae;g__Micarea;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae;g__Xanthoparmelia;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Ramalinaceae;;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Tephromelataceae;g__Tephromela;s__Tephromela_atra
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Tephromelataceae;g__Tephromela;s__Tephromela_atra
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Ostropales;f__Graphidaceae;g__Diploschistes;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Pertusariales;f__Ochrolechiaceae;g__Ochrolechia;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Teloschistaceae;;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Teloschistaceae;;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Teloschistaceae;g__Caloplaca;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Teloschistaceae;g__Xanthoria;
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Umbilicariales;f__Ophioparmaceae;g__Hypocenomyce;s__Hypocenomyce_scalaris
k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Leotiomycetes;;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;;;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Dermea;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Mollisia;s__unidentified
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Pezicula;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Arachnopeziza;
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Hyphopichia;
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_cerevisiae
k__Fungi;p__Ascomycota;c__Sordariomycetes;;;;
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_gloeosporioides
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;;;
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;;;
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;;
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;;
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;;
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;;
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;;;
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;;;
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;;
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__Annulohypoxylon;
k__Fungi;p__Basidiomycota;;;;;
k__Fungi;p__Basidiomycota;;;;;
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;;;
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Gymnopilus;
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Clitopilus;s__unidentified
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Psathyrella;
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Psathyrella;
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__unidentified
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Tulasnellaceae;g__Tulasnella;s__unidentified
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Hyphodontia;s__unidentified
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Xylodon;
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Xylodon;
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Hyphodermataceae;g__Hyphoderma;
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Phlebia;
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Trametes;
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;;;
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Serendipitaceae;g__Serendipita;s__unidentified
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryomycetes_ord_Incertae_sedis;f__Microbotryomycetes_fam_Incertae_sedis;g__Colacogloea;
k__Fungi;p__Basidiomycota;c__Tremellomycetes;;;;
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;;;
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;;;
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;;;
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__unidentified;s__unidentified
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Tremella;
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__unidentified;s__unidentified
k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__unidentified;g__unidentified;s__unidentified
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;;
k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;;
k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;
k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__unidentified
Streptophyta;Bryopsida;Bryales;Mniaceae;Mnium;Mnium_hornum;
Streptophyta;Magnoliopsida;Malpighiales;Rhizophoraceae;Rhizophora;Rhizophora_mucronata;
Unassigned_fungi1;;;;;;
Unassigned_fungi2;;;;;;
Unassigned_fungi3;;;;;;
Unassigned_fungi4;;;;;;
Unassigned_fungi5;;;;;;
Unassigned_fungi6;;;;;;
Unassigned_fungi7;;;;;;
Unassigned_fungi8;;;;;;
Unassigned_fungi9;;;;;;
Unassigned_fungi10;;;;;;
Unassigned_fungi11;;;;;;
Unassigned_fungi12;;;;;;
Unassigned_fungi13;;;;;;
Unassigned_fungi14;;;;;;
Unassigned_fungi15;;;;;;
Unassigned_fungi16;;;;;;
Unassigned_fungi17;;;;;;
Unassigned_fungi18;;;;;;
Unassigned_fungi19;;;;;;
Unassigned_fungi20;;;;;;
Unassigned_fungi21;;;;;;
Unassigned_fungi22;;;;;;
Unassigned_fungi23;;;;;;
Unassigned_fungi24;;;;;;
Unassigned_fungi25;;;;;;
Unassigned_fungi26;;;;;;
Unassigned_fungi27;;;;;;
Unassigned_fungi28;;;;;;
Unassigned_fungi29;;;;;;
Unassigned_fungi30;;;;;;
Unassigned_fungi31;;;;;;
Unassigned_fungi32;;;;;;
Unassigned_fungi33;;;;;;
Unassigned_fungi34;;;;;;
Unassigned_fungi35;;;;;;
Unassigned_fungi36;;;;;;
Unassigned_fungi37;;;;;;
Unassigned_fungi38;;;;;;
Unassigned_fungi39;;;;;;
Unassigned_fungi40;;;;;;
Unassigned_fungi41;;;;;;
Unassigned_fungi42;;;;;;
Unassigned_fungi43;;;;;;
Unassigned_fungi44;;;;;;
Unassigned_fungi45;;;;;;
Unassigned_fungi46;;;;;;
Unassigned_fungi47;;;;;;
Unassigned_fungi48;;;;;;
Unassigned_fungi49;;;;;;
Unassigned_fungi50;;;;;;
Unassigned_fungi51;;;;;;
Unassigned_fungi52;;;;;;
Unassigned_fungi53;;;;;;
Unassigned_fungi54;;;;;;
Unassigned_fungi55;;;;;;
Unassigned_fungi56;;;;;;
Unassigned_fungi57;;;;;;
Unassigned_fungi58;;;;;;
Unassigned_fungi59;;;;;;
Unassigned_fungi60;;;;;;
Unassigned_fungi61;;;;;;
Unassigned_fungi62;;;;;;
Unassigned_fungi63;;;;;;
Unassigned_fungi64;;;;;;
Unassigned_fungi65;;;;;;
Unassigned_fungi66;;;;;;
Unassigned_fungi67;;;;;;
Unassigned_fungi68;;;;;;
Unassigned_fungi69;;;;;;
Unassigned_fungi70;;;;;;
Unassigned_fungi71;;;;;;
Unassigned_fungi72;;;;;;
Unassigned_fungi73;;;;;;
Unassigned_fungi74;;;;;;
Unassigned_fungi75;;;;;;
Unassigned_fungi76;;;;;;
Unassigned_fungi77;;;;;;
Unassigned_fungi78;;;;;;
Unassigned_fungi79;;;;;;
Unassigned_fungi80;;;;;;
Unassigned_fungi81;;;;;;
Unassigned_fungi82;;;;;;
Unassigned_fungi83;;;;;;
Unassigned_fungi84;;;;;;
Unassigned_fungi85;;;;;;
Unassigned_fungi86;;;;;;
Unassigned_fungi87;;;;;;
Unassigned_fungi88;;;;;;
Unassigned_fungi89;;;;;;
Unassigned_fungi90;;;;;;
Unassigned_fungi91;;;;;;
Unassigned_fungi92;;;;;;
Unassigned_fungi93;;;;;;
Unassigned_fungi94;;;;;;
Unassigned_fungi95;;;;;;
Unassigned_fungi96;;;;;;
Unassigned_fungi97;;;;;;
Unassigned_fungi98;;;;;;
Unassigned_fungi99;;;;;;
Unassigned_fungi100;;;;;;
Unassigned_fungi101;;;;;;
Unassigned_fungi102;;;;;;
Unassigned_fungi103;;;;;;
Unassigned_fungi104;;;;;;
Unassigned_fungi105;;;;;;
Unassigned_fungi106;;;;;;
Unassigned_fungi107;;;;;;
Unassigned_fungi108;;;;;;
Unassigned_fungi109;;;;;;
Unassigned_fungi110;;;;;;
Unassigned_fungi111;;;;;;
Unassigned_fungi112;;;;;;
Unassigned_fungi113;;;;;;
Unassigned_fungi114;;;;;;
Unassigned_fungi115;;;;;;
Unassigned_fungi116;;;;;;
